,valor,Variable,Index
13262,0.0,vGenPlt,MERILECTRICA_1.4#6484
13263,0.0,vGenPlt,PAIPA_1.4#6508
13264,72.0,vGenPlt,PAIPA_2.4#6532
13265,70.0,vGenPlt,PAIPA_3.4#6556
13266,165.0,vGenPlt,PAIPA_4.4#6580
13267,0.0,vGenPlt,PROELECTRICA_1.4#6604
13268,0.0,vGenPlt,PROELECTRICA_2.4#6628
13269,0.0,vGenPlt,TASAJERO_1.4#6652
13270,0.0,vGenPlt,TASAJERO_2.4#6676
13271,38.0,vGenPlt,TERMOCARIBE_III_1.4#6700
13272,0.0,vGenPlt,TERMODORADA_1.4#6724
13273,0.0,vGenPlt,TERMOYOPAL_1.4#6748
13274,0.0,vGenPlt,TERMOYOPAL_2.4#6772
13275,50.0,vGenPlt,TERMOYOPAL_G3.4#6796
13276,0.0,vGenPlt,TERMOYOPAL_G4.4#6820
13277,50.0,vGenPlt,TERMOYOPAL_G5.4#6844
13278,0.0,vGenPlt,ZIPAEMG_2.4#6868
13279,0.0,vGenPlt,ZIPAEMG_3.4#6892
13280,0.0,vGenPlt,ZIPAEMG_4.4#6916
13281,0.0,vGenPlt,ZIPAEMG_5.4#6940
13282,0.0,vGenPlt,DC_TR_INT_Proy.4#6964
13283,0.0,vGenPlt,DC_TR_ATL_Proy.4#6988
13284,0.0,vGenPlt,DC_TR_BOL_Proy.4#7012
13285,0.0,vGenPlt,DC_TR_GCM_Proy.4#7036
13286,0.0,vGenPlt,DC_TR_CS_Proy.4#7060
13287,0.0,vGenPlt,DC_TR_CRR_Proy.4#7084
13288,0.0,vGenPlt,DC_TR_INT_Proy_1.4#7108
13289,0.0,vGenPlt,DC_TR_ATL_Proy_1.4#7132
13290,0.0,vGenPlt,DC_TR_BOL_Proy_1.4#7156
13291,0.0,vGenPlt,DC_TR_GCM_Proy_1.4#7180
13292,0.0,vGenPlt,DC_TR_CS_Proy_1.4#7204
13293,0.0,vGenPlt,DC_TR_CRR_Proy_1.4#7228
13294,0.0,vGenPlt,DC_TR_INT_Proy_2.4#7252
13295,0.0,vGenPlt,DC_TR_ATL_Proy_2.4#7276
13296,0.0,vGenPlt,DC_TR_BOL_Proy_2.4#7300
13297,0.0,vGenPlt,DC_TR_GCM_Proy_2.4#7324
13298,0.0,vGenPlt,DC_TR_CS_Proy_2.4#7348
13299,0.0,vGenPlt,DC_TR_CRR_Proy_2.4#7372
13300,1415.9,vGenPlt,DC_HD_INT_Proy.4#7396
13301,0.0,vGenPlt,DC_HD_ATL_Proy.4#7420
13302,0.0,vGenPlt,DC_HD_BOL_Proy.4#7444
